0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.073022,0.146044,0.219066,0.292088,0.36511,0.438132,0.584176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.058712,0.117424,0.176136,0.234848,0.29356,0.352272,0.469696,0.58712,0.704544,0.821968,0.939392,1.05682,1.17424,1.576,2.11521,2.83891,3.81023,5.11386,6.86353,9.21183,12.3636,16.5937,22.2711,29.891
0.0835235,0.167047,0.25057,0.334094,0.417617,0.501141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0674857,0.134971,0.202457,0.269943,0.337429,0.404914,0.539886,0.674857,0.809829,0.9448,1.07977,1.21474,1.34971,1.78872,2.37051,0.0,0.0,5.51748,7.31208,9.69038,12.8422,17.0193,22.5549,29.891
0.0655528,0.131106,0.196658,0.262211,0.327764,0.393317,0.524422,0.655528,0.786634,0.917739,1.04884,1.17995,1.31106,1.74208,2.31481,3.07583,4.08705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.048818,0.097636,0.146454,0.195272,0.24409,0.292908,0.390544,0.48818,0.585816,0.683452,0.781088,0.878724,0.97636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0691119,0.138224,0.207336,0.276448,0.34556,0.414672,0.552895,0.691119,0.829343,0.967567,1.10579,1.24401,1.38224,1.82786,2.41714,3.19641,4.2269,5.58961,7.39165,9.77465,12.9259,17.0931,22.6037,29.891
0.0716758,0.143352,0.215027,0.286703,0.358379,0.430055,0.573407,0.716758,0.86011,1.00346,1.14681,1.29016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90498,13.055,17.2067,22.6787,29.891
0.0546042,0.109208,0.163813,0.218417,0.273021,0.327625,0.436834,0.546042,0.655251,0.764459,0.873668,0.982876,1.09208,1.47543,1.99334,2.69304,3.63835,4.91549,6.64094,8.97205,12.1214,16.3763,22.1247,29.891
0.0624361,0.124872,0.187308,0.249745,0.312181,0.374617,0.499489,0.624361,0.749234,0.874106,0.998978,1.12385,1.24872,1.66662,2.22437,2.96877,3.9623,5.28832,7.05811,9.42017,12.5727,16.7803,22.396,29.891
0.0874309,0.174862,0.262293,0.349723,0.437154,0.524585,0.699447,0.874309,1.04917,1.22403,1.39889,1.57376,1.74862,2.26345,2.92987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0544464,0.108893,0.163339,0.217786,0.272232,0.326679,0.435572,0.544464,0.653357,0.76225,0.871143,0.980036,1.08893,1.47155,1.98862,2.68738,3.63166,4.90774,6.63221,8.96261,12.1119,16.3677,22.1189,29.891
0.0662086,0.132417,0.198626,0.264835,0.331043,0.397252,0.529669,0.662086,0.794504,0.926921,1.05934,1.19176,1.32417,1.75792,2.33374,3.09818,4.11302,5.46028,7.24885,9.62329,12.7755,16.9602,22.5157,29.891
0.0,0.0,0.0,0.268956,0.336195,0.403435,0.537913,0.672391,0.806869,0.941347,1.07583,1.2103,1.34478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.129894,0.194841,0.259788,0.324735,0.389682,0.519576,0.64947,0.779364,0.909258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.901,22.4764,29.891
0.0525594,0.105119,0.157678,0.210238,0.262797,0.315356,0.420475,0.525594,0.630713,0.735832,0.84095,0.946069,1.05119,1.42511,1.93205,2.61931,3.55105,4.81422,6.52672,8.84838,11.9959,16.263,22.0481,29.891
0.0643416,0.128683,0.193025,0.257366,0.321708,0.386049,0.514732,0.643416,0.772099,0.900782,1.02946,1.15815,1.28683,1.71279,2.27976,0.0,4.03883,5.37575,7.15521,9.52371,12.6762,16.8723,22.4573,0.0
0.0691697,0.138339,0.207509,0.276679,0.345849,0.415018,0.553358,0.691697,0.830036,0.968376,1.10672,1.24505,1.38339,1.82925,2.4188,3.19835,4.22915,5.59216,7.39446,9.77762,12.9288,17.0957,22.6055,29.891
